Source,Target,Weight
Dunk,Egg (Aegon),1046
Egg (Aegon),Dunk,873
Baelor Targaryen,Dunk,455
Raymun Fossoway,Dunk,336
Maekar Targaryen,Dunk,313
Dunk,Maekar Targaryen,296
Dunk,Baelor Targaryen,290
Plummer,Dunk,270
Steely Pate,Dunk,231
Dunk,Raymun Fossoway,218
Rafe,Dunk,189
Lyonel Baratheon,Dunk,186
Steffon Fossoway,Dunk,175
Daeron Targaryen,Dunk,170
Dunk,Rafe,169
Dunk,Lyonel Baratheon,146
Baelor Targaryen,Maekar Targaryen,131
Dunk,Red,111
Dunk,Steely Pate,108
Dunk,Plummer,106
Maekar Targaryen,Baelor Targaryen,88
Dunk,Tanselle,86
Dunk,Daeron Targaryen,83
Dunk,Steffon Fossoway,76
Arlan of Pennytree,Dunk,70
Rafe,Alester,65
Dunk,Aerion Targaryen,64
Aerion Targaryen,Maekar Targaryen,59
Daeron Targaryen,Egg (Aegon),57
Tanselle,Dunk,56
Egg (Aegon),Daeron Targaryen,53
Valarr Targaryen,Dunk,52
Aerion Targaryen,Dunk,45
Raymun Fossoway,Rowan Fossoway,45
Egg (Aegon),Raymun Fossoway,44
Dunk,Manfred Dondarrion,43
Baelor Targaryen,Egg (Aegon),43
Red,Dunk,42
Manfred Dondarrion,Dunk,42
Daeron Targaryen,Maekar Targaryen,39
Raymun Fossoway,Steffon Fossoway,38
Dunk,Arlan of Pennytree,33
Daeron Targaryen,Tanselle,30
Maekar Targaryen,Aerion Targaryen,29
Alester,Dunk,29
Dunk,Alester,28
Lyonel Baratheon,Lord Ashford,27
Dunk,Beony,25
Baelor Targaryen,Aerion Targaryen,25
Steffon Fossoway,Raymun Fossoway,23
Egg (Aegon),Tanselle,23
Donnel of Duskendale,Dunk,21
Dunk,Valarr Targaryen,20
Beony,Red,19
Egg (Aegon),Baelor Targaryen,18
Lord Ashford,Maekar Targaryen,17
Egg (Aegon),Maekar Targaryen,17
Raymun Fossoway,Egg (Aegon),16
Beony,Dunk,15
Rowan Fossoway,Dunk,15
Rowan Fossoway,Daeron Targaryen,15
Red,Beony,14
Aerion Targaryen,Baelor Targaryen,14
Rowan Fossoway,Raymun Fossoway,14
Dunk,Donnel of Duskendale,13
Red,Daisy,12
Red,Tanselle,12
Dunk,Lord Ashford,12
Tanselle,Egg (Aegon),11
Egg (Aegon),Valarr Targaryen,10
Raymun Fossoway,Lyonel Baratheon,10
Baelor Targaryen,Steely Pate,10
Dunk,Roland Crakehall,9
Tanselle,Steely Pate,9
Egg (Aegon),Arlan of Pennytree,9
Red,Manfred Dondarrion,8
Alester,Rafe,8
Roland Crakehall,Dunk,7
Lord Ashford,Aerion Targaryen,7
Baelor Targaryen,Raymun Fossoway,7
Dunk,Willem Wylde,6
Valarr Targaryen,Raymun Fossoway,6
Humfrey Hardyng,Egg (Aegon),5
Egg (Aegon),Aerion Targaryen,5
Aerion Targaryen,Raymun Fossoway,5
Daisy,Beony,4
Maekar Targaryen,Egg (Aegon),4
Raymun Fossoway,Baelor Targaryen,4
Egg (Aegon),Leo Tyrell,3
Raymun Fossoway,Daeron Targaryen,3
Lord Ashford,Dunk,3
Willem Wylde,Dunk,2
Aerion Targaryen,Egg (Aegon),2
Leo Tyrell,Egg (Aegon),1
Steely Pate,Baelor Targaryen,1
