id,label,gender,social_class,house_affiliation
1,Dunk,M,Knight,None
2,Egg (Aegon),M,Royalty,Targaryen
3,Baelor Targaryen,M,Royalty,Targaryen
4,Raymun Fossoway,M,Noble,Fossoway
5,Maekar Targaryen,M,Royalty,Targaryen
6,Plummer,M,Commoner,None
7,Steely Pate,M,Commoner,None
8,Lyonel Baratheon,M,Noble,Baratheon
9,Rafe,M,Commoner,None
10,Steffon Fossoway,M,Noble,Fossoway
11,Daeron Targaryen,M,Royalty,Targaryen
12,Arlan of Pennytree,M,Knight,None
13,Aerion Targaryen,M,Royalty,Targaryen
14,Tanselle,W,Commoner,None
15,Lord Ashford,M,Noble,Ashford
16,Valarr Targaryen,M,Royalty,Targaryen
17,Red,W,Commoner,None
18,Manfred Dondarrion,M,Noble,Dondarrion
19,Alester,M,Commoner,None
20,Beony,W,Commoner,None
21,Donnel of Duskendale,M,Knight,None
22,Rowan Fossoway,M,Noble,Fossoway
23,Roland Crakehall,M,Noble,Crakehall
24,Daisy,W,Commoner,None
25,Humfrey Hardyng,M,Knight,Hardyng
26,Willem Wylde,M,Knight,Wylde
27,Leo Tyrell,M,Noble,Tyrell
